,unixtime,mmsi,nav_status,sog,position_accuracy,lat,lon,cog,true_heading,timestamp
0,"1622561332.8332856,",244407000,0,0.0,1,51.97666,4.1255,180.0,208,51
1,"1622561333.101336,",246657000,5,11.399999618530272,1,52.031081666666665,3.967948333333333,304.0,313,52
2,"1622561333.336926,",244030516,0,4.800000190734863,1,51.93997666666667,4.083833333333334,115.9000015258789,110,52
3,"1622561333.503765,",249518000,0,0.0,0,51.959921666666666,4.009956666666667,228.3999938964844,351,54
4,"1622561333.9574752,",244660114,0,0.0,1,51.93709,4.052631666666667,73.69999694824219,69,53
5,"1622561334.020023,",245209000,0,3.299999952316284,1,51.98032666666667,4.093113333333333,106.5999984741211,104,53
6,"1622561334.1254787,",245811000,0,0.0,0,51.902635,4.380006666666667,328.5,160,54
7,"1622561334.1506023,",244750616,0,0.0,0,51.95959833333333,3.99552,201.3000030517578,173,54
8,"1622561334.1820421,",249525000,0,0.0,1,51.976216666666666,3.9907166666666662,252.0,170,51
9,"1622561334.7135558,",248352000,0,0.0,0,51.959916666666665,4.009733333333333,71.0999984741211,352,53
10,"1622561334.9273396,",249522000,10,9.399999618530272,1,51.9666,4.0853,43.0,43,55
11,"1622561335.163104,",244287000,0,25.299999237060547,1,51.97045,4.115483333333334,96.0,92,53
12,"1622561335.4031703,",244061000,0,12.0,1,52.02480666666667,3.8213966666666663,260.6000061035156,259,56
13,"1622561335.5884407,",305149000,0,5.5,0,51.97172166666667,4.098498333333334,111.0,112,56
14,"1622561335.754066,",304642000,5,17.100000381469727,1,52.02883333333333,3.945,294.0,295,53
15,"1622561335.8032176,",244710324,0,9.0,1,51.93634,4.113571666666667,103.9000015258789,103,38
16,"1622561336.4033422,",245232000,0,0.0,0,51.97714333333333,4.125201666666666,360.0,9,56
17,"1622561336.4693236,",256758000,0,0.0,1,51.96173833333334,4.139261666666667,342.5,39,54
18,"1622561336.5026944,",354977000,5,0.0,1,51.94784166666667,4.05247,73.69999694824219,78,53
19,"1622561336.5875807,",305542000,8,0.0,0,51.96406666666667,4.0949116666666665,32.599998474121094,295,57
20,"1622561336.6340036,",212115000,3,9.300000190734863,1,52.027785,4.046363333333334,15.399999618530272,18,57
